id,created_at,payload
3062735,2021-06-23 20:40:36.612,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'X4YM', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062740,2021-06-23 20:40:56.606,"{'DeviceID': 'MAMAGPS1', 'MessageID': '0UQD', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062745,2021-06-23 20:41:16.623,"{'DeviceID': 'MAMAGPS1', 'MessageID': '36RA', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062750,2021-06-23 20:41:36.617,"{'DeviceID': 'MAMAGPS1', 'MessageID': '9FX8', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062755,2021-06-23 20:41:56.611,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'I1H8', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062760,2021-06-23 20:42:16.616,"{'DeviceID': 'MAMAGPS1', 'MessageID': '3DA3', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062765,2021-06-23 20:42:36.615,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'XTI6', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062770,2021-06-23 20:42:56.611,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'UJTJ', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062775,2021-06-23 20:43:16.610,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'NACA', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062780,2021-06-23 20:43:36.613,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'P6GS', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062785,2021-06-23 20:43:56.613,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'GGAT', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062790,2021-06-23 20:44:16.613,"{'DeviceID': 'MAMAGPS1', 'MessageID': '6K6K', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062795,2021-06-23 20:44:36.609,"{'DeviceID': 'MAMAGPS1', 'MessageID': '94TT', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062800,2021-06-23 20:44:56.609,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'F558', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062805,2021-06-23 20:45:16.661,"{'DeviceID': 'MAMAGPS1', 'MessageID': '4SSL', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062810,2021-06-23 20:45:36.592,"{'DeviceID': 'MAMA0001', 'MessageID': 'W2KM', 'Payload': 'Counter:1', 'path': 'MAMA0001PAPADUCK', 'hops': 1, 'duckType': 2}"
3062815,2021-06-23 20:45:56.618,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'POGE', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062820,2021-06-23 20:46:16.617,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'YRR8', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062825,2021-06-23 20:46:36.512,"{'DeviceID': 'MAMA0001', 'MessageID': 'QVXQ', 'Payload': 'Counter:2', 'path': 'MAMA0001PAPADUCK', 'hops': 1, 'duckType': 2}"
3062830,2021-06-23 20:46:56.617,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'RBDE', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062835,2021-06-23 20:47:16.618,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'C2TD', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062840,2021-06-23 20:47:36.487,"{'DeviceID': 'MAMA0001', 'MessageID': 'JBT9', 'Payload': 'Counter:3', 'path': 'MAMA0001PAPADUCK', 'hops': 1, 'duckType': 2}"
3062845,2021-06-23 20:47:56.612,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'SA9U', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062850,2021-06-23 20:48:16.656,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'LY8F', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062855,2021-06-23 20:48:36.499,"{'DeviceID': 'MAMA0001', 'MessageID': 'JNTQ', 'Payload': 'Counter:4', 'path': 'MAMA0001PAPADUCK', 'hops': 1, 'duckType': 2}"
3062860,2021-06-23 20:48:56.619,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'XB18', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062865,2021-06-23 20:49:16.616,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'VR11', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062870,2021-06-23 20:49:36.503,"{'DeviceID': 'MAMA0001', 'MessageID': '4P03', 'Payload': 'Counter:5', 'path': 'MAMA0001PAPADUCK', 'hops': 1, 'duckType': 2}"
3062876,2021-06-23 20:49:56.803,"{'DeviceID': 'MAMAGPS1', 'MessageID': '725O', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062881,2021-06-23 20:50:17.034,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'KO75', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062886,2021-06-23 20:50:36.487,"{'DeviceID': 'MAMA0001', 'MessageID': 'CH4S', 'Payload': 'Counter:6', 'path': 'MAMA0001PAPADUCK', 'hops': 1, 'duckType': 2}"
3062891,2021-06-23 20:50:56.620,"{'DeviceID': 'MAMAGPS1', 'MessageID': '4WXM', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062896,2021-06-23 20:51:16.620,"{'DeviceID': 'MAMAGPS1', 'MessageID': '2UB6', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062901,2021-06-23 20:51:36.487,"{'DeviceID': 'MAMA0001', 'MessageID': '58Y0', 'Payload': 'Counter:7', 'path': 'MAMA0001PAPADUCK', 'hops': 1, 'duckType': 2}"
3062906,2021-06-23 20:51:56.615,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'B9BP', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062911,2021-06-23 20:52:16.621,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'A119', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062916,2021-06-23 20:52:36.491,"{'DeviceID': 'MAMA0001', 'MessageID': 'UH75', 'Payload': 'Counter:8', 'path': 'MAMA0001PAPADUCK', 'hops': 1, 'duckType': 2}"
3062921,2021-06-23 20:52:56.696,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'XQDN', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
